# x1,x2,y,standard deviation
4.906027342919837331e+00,-2.688464824623964411e+00,1.251822100025852365e+02,1.086729629396333685e+01
5.697931985523773335e+00,-5.474437480759733354e+00,1.217127108152322705e+02,1.233954940947741541e+01
4.979563304268334711e+00,-7.380694740311276369e+00,1.802477773812202031e+02,1.251954501914966578e+01
4.215797326770148956e+00,-3.171275672657855260e+00,1.231376687807109676e+02,1.056442924548293227e+01
6.739824474722777126e+00,-6.098478481480839264e+00,1.802785576761715163e+02,1.314858148138757876e+01
5.073446163653933638e+00,-4.376260894791060174e+00,1.171877502828904625e+02,1.158066404024991591e+01
2.354866436503542992e+00,-9.098846071876010910e+00,1.244792388506269560e+02,1.145049191618251960e+01
5.505285620818677117e+00,-7.621733686790030049e+00,1.823615196410910073e+02,1.290554740437616665e+01
5.270590328352263043e+00,-8.071884057079149244e+00,1.626075634731852517e+02,1.290867643803643894e+01
2.586319211033663024e+00,-2.881926432446089592e+00,8.826775080466782697e+01,9.211416808779942400e+00
6.287932993124991654e+00,-5.433490418413532197e+00,1.718021646131689693e+02,1.268017816295114741e+01
3.273768994569549839e+00,-8.888991392975221117e+00,1.338277968519039689e+02,1.196739178193582021e+01
3.476307172068952234e+00,-2.206795575163852163e+00,1.036711350782379952e+02,9.633222315629650367e+00
3.691067278328377554e+00,-5.398461763831068794e+00,1.111919943384693426e+02,1.102513960390407988e+01
6.331957617372673930e+00,-2.078556190453950236e+00,1.280253277773148568e+02,1.160206075592701502e+01
3.648704479935564571e+00,-5.956766954205191311e+00,1.246736247971983289e+02,1.119753110434059096e+01
6.798488017166919306e+00,-4.136591918609144436e+00,1.613056949647756824e+02,1.257259144354802238e+01
3.272882726506231243e+00,-6.844506069599473719e+00,1.224927157864425880e+02,1.126273898545061947e+01
2.725477844772509428e+00,-7.184984940040042289e+00,1.148922003698757379e+02,1.101644439880254467e+01
6.282527338383520288e+00,-4.736753364189466353e+00,1.700774211187499532e+02,1.245519718789182839e+01
4.119744549885277607e+00,-5.422498078603043226e+00,1.592688713670177663e+02,1.132149075330203658e+01
5.355426415973151499e+00,-8.718405831856482990e+00,1.956037044006192218e+02,1.315593565256569342e+01
2.810338078105129256e+00,-6.203559029993868990e+00,1.310708760462946145e+02,1.071370820078313990e+01
3.059036790565222486e+00,-5.911373895220672026e+00,1.108550238370569616e+02,1.077852230225663632e+01
3.086688343976729421e+00,-6.178513834632543222e+00,1.080225005122384516e+02,1.089625788225991343e+01
5.896141550771513806e+00,-6.935615753769257985e+00,1.646462666945176068e+02,1.292002512736437225e+01
3.045081633436192092e+00,-6.294498646055246560e+00,1.146729068767429283e+02,1.091018852586814170e+01
3.830558468937692584e+00,-4.684596992122296299e+00,1.232104032430214318e+02,1.085979525456367689e+01
3.540787740113793713e+00,-9.491675278716478203e+00,1.264068521728500798e+02,1.233066171506779796e+01
6.651243974447893059e+00,-7.763412549065384027e+00,1.870402325555020298e+02,1.359690994341146109e+01
6.294987901616018178e+00,-5.514495230218388500e+00,1.558264898585190963e+02,1.270986940790452735e+01
5.550419221803423397e+00,-6.047502437938120146e+00,1.529029016411730026e+02,1.243528479089065009e+01
2.044644345614907710e+00,-4.456314079197389866e+00,8.579047493478942954e+01,9.450935287991486078e+00
5.335704020848002216e+00,-8.011447507496406217e+00,1.629335236146104080e+02,1.292776625611289809e+01
6.382661486643963045e+00,-3.217440313593985302e+00,1.581120428254239982e+02,1.201996026650717830e+01
5.601449306067953771e+00,-9.370300395333719834e+00,1.761779740037619888e+02,1.349014984178044863e+01
