# x1,x2,x3,x4,y,standard deviation
4.518732605750688691e+00,-8.467581006604287808e+00,-2.617557698836228131e-01,-1.382658708302947126e+01,-9.518544635466889758e+01,1.025462955617069127e+01
5.805967578132651852e+00,-6.785881144246777907e+00,9.099074178557657877e-01,-1.217130650945192727e+01,-8.393039667165490414e+01,8.206785225310113674e+00
4.655806104403434453e+00,-2.194276719139588216e+00,2.962572576266209179e-01,-8.813235133370088903e+00,2.750696062502467498e+01,4.863934299172190556e+00
6.076477785156377820e+00,-2.981939118680045908e+00,4.272718635436625334e-01,-4.731518386248112051e+00,-9.682245849765398482e-01,3.712150694649185567e-01
4.463104771469124543e+00,-8.371783132947943074e+00,5.019707620007305415e-01,-1.058141167737698751e+01,-1.338332233210154243e+02,1.070024273987873364e+01
3.379857369456862770e+00,-4.417348629017681105e+00,-7.160380849097163214e-01,-1.353195969342148963e+01,-8.600190704561882171e+00,4.203781199115677936e+00
5.033425290190104207e+00,-9.990772404220797043e+00,9.472605303588785830e-01,-2.133377614441627657e+00,-1.559540169957645048e+02,1.323310345548317279e+01
4.971256985048592369e+00,-4.600435977155946432e+00,8.446788982703055115e-01,-8.773962606501029882e+00,-3.037604589716092818e+01,5.596535761199183945e+00
5.895194867145084672e+00,-8.978098855331682060e+00,5.673053500695584006e-01,-8.643790516197375595e+00,-1.319954407730259334e+02,1.127934122581856613e+01
4.071266528918576100e+00,-6.854761340333855202e+00,8.713921098489498807e-01,-1.245262003546805651e+01,-6.750416746032249193e+01,8.757174332875845124e+00
5.050849226675537373e+00,-6.400651471881293908e+00,2.296351837986081446e-01,-1.958050745486987765e+01,-3.541042939828970049e+01,6.219202981321613422e+00
2.919192686643194978e+00,-4.026038861460439655e+00,-4.435823898650108621e-01,-7.700143858154431697e+00,-3.046179861439396319e+01,5.386588347570363311e+00
2.184928147697660084e+00,-3.834740757650935805e+00,6.603283600549603172e-01,-1.766325278806273857e+01,-2.975916182254005338e-01,7.780070972715645850e-01
6.283923344749589468e+00,-8.622963503479875058e+00,-2.028383952829706516e-01,-6.474432000428247846e+00,-1.348577639647661783e+02,1.104896244289202478e+01
5.567836843990995987e+00,-6.225149199053546134e+00,-9.049771812346651956e-02,-3.809440339599476033e+00,-8.350137703203672856e+01,8.872988837096055903e+00
6.227501222642388257e+00,-7.924386066551916130e+00,-2.524891537375562045e-02,-1.650232012316629948e+01,-8.652964488583515390e+01,8.750195153094342260e+00
4.462132794263643731e+00,-6.009614197071647901e+00,-7.282282564517328360e-02,-5.832858075850435142e+00,-6.357328800171013938e+01,8.559570239357116250e+00
5.494716710822755701e+00,-2.279550892836416764e+00,-7.776293845508264191e-02,-4.672973109085823751e+00,1.129339416805695073e+01,3.770723832773202666e+00
5.180828184402919590e+00,-9.663657280199622335e+00,5.667410758428070849e-02,-9.158037479053529495e+00,-1.520018744375101960e+02,1.199996717914614486e+01
4.799019406269962040e+00,-6.051077956914625133e+00,-2.189644100159338080e-01,-1.117148553320398108e+01,-6.763255170736721311e+01,7.498487217968884622e+00
2.253277605142219642e+00,-3.458470788321802658e+00,5.086697288718582399e-01,-3.287273581840388204e+00,-3.427814108891812594e+01,5.868045570538193978e+00
6.725212614527900534e+00,-2.279946466764942947e+00,-3.965898162068197674e-01,-5.251805390733094825e+00,1.997702429281932268e+01,4.768216662617035695e+00
3.763241730174961219e+00,-9.222360008737709336e+00,8.136702967561715294e-01,-1.487179928574569487e+01,-1.262030408005750530e+02,1.119419556227100188e+01
2.678059342447605129e+00,-4.387418131771894103e+00,1.003236216588658802e-01,-1.317241577137815511e+01,-1.884712600121197923e+01,4.817024003230502061e+00
2.180213260352390492e+00,-8.591608722446007818e+00,4.502224980089848394e-01,-8.357486463539178345e+00,-1.371132814054089977e+02,1.172748566061356001e+01
3.333122523770644552e+00,-8.565613591811578331e+00,-2.172757077322979846e-01,-1.956188984229445182e+01,-7.500186912687428276e+01,9.809346514955270990e+00
6.268037121908662357e+00,-5.977004111125144625e+00,1.879015387384219693e-01,-2.089244390008925478e+00,-7.998643419461117787e+01,8.674040514880310582e+00
6.142854522367453107e+00,-7.067667879014505772e+00,-2.929617538099749119e-01,-8.337209612768157641e+00,-7.574366200256204706e+01,9.013575109775917582e+00
6.045722802651638084e+00,-6.529871204869478696e+00,-5.257003755948461698e-01,-2.018995676470659362e+00,-9.819536637839374293e+01,9.372834998981799615e+00
4.663580870157506553e+00,-5.543028254630944396e+00,4.344797561092383908e-02,-9.230728279666271519e+00,-4.671569895372083181e+01,7.180978806398695014e+00
3.658399391598443628e+00,-4.140065629284142901e+00,-3.756211042979353820e-01,-2.460180109034755702e+00,-4.771679107954541621e+01,6.617985341464796889e+00
5.496754639521689967e+00,-4.752424427782818483e+00,8.207612366186007868e-01,-8.506168783680683632e+00,-3.616634075847890273e+01,5.739773929658861462e+00
2.437632135162723923e+00,-4.618705433213860623e+00,-8.935598400618876003e-01,-1.291309710839845515e+01,-2.797665044624661945e+01,5.340004989022578918e+00
2.992836003686641710e+00,-4.197240896866642146e+00,4.932290295417265380e-01,-3.582478263840972232e+00,-3.867449027532337169e+01,6.841884526726541793e+00
3.262965817849881045e+00,-5.687425324900590162e+00,-6.237658384713131721e-01,-1.561257673409333968e+01,-4.145637111165907385e+01,6.435113946484671388e+00
5.383099174555058042e+00,-4.249383789260432920e+00,-5.414446345571617414e-01,-5.776172263340127344e+00,-2.870242636393956914e+01,5.235353399826985665e+00
