# x1,x2,x3,x4,x5,x6,y,standard deviation
1.191294333722727750e-01,8.025719537650437552e-01,-9.353787300528955129e-01,2.155029760196167099e-02,1.470459842961168384e+00,-1.606737676054131203e+00,1.052760035037450592e+02,1.071024229586035048e+01
1.599028870989975815e-01,8.398370945625717177e-01,-7.394159638758971420e-01,7.714897819099816867e-02,1.761796771845212550e+00,-1.903486298306211300e+00,1.131994186520255141e+02,1.132413372988629163e+01
9.502973480988164967e-01,6.549713051363236227e-01,-7.578482561319770383e-01,7.989377244370340914e-02,1.737250005550938114e+00,-1.676678054203817103e+00,1.660605110720679818e+02,1.247458989810873042e+01
6.917704639681719891e-01,6.731285103145090432e-01,-8.660718916279620538e-01,-7.325096957455901059e-02,1.758638870470599080e+00,-1.219747363446392896e+00,1.340405477326194159e+02,1.109651334375213949e+01
8.414236693998868866e-01,6.300464108034735666e-01,-3.356569654182667284e-01,8.903588778250176583e-03,1.787335136795308088e+00,-2.216879697631801704e+00,1.598481685365778162e+02,1.191428920525440915e+01
1.244612102279774035e-03,5.660958904447472850e-01,-4.596052608796531436e-01,-8.656539140904737084e-03,1.607873598649539604e+00,-2.157345588632857414e+00,9.941827453869250064e+01,1.013130099818082819e+01
3.796677895798571400e-01,9.070674402494354194e-01,-7.310414881839351064e-01,2.811974036502912222e-02,1.416384795808165897e+00,-1.299611211832196078e+00,1.123937818283714449e+02,1.062761607730708491e+01
4.324341997543852401e-01,5.896250377855207780e-01,-4.738485926656994529e-01,-8.185327353081017776e-02,1.095442828405371216e+00,-2.243054429267777650e+00,9.289416508713134135e+01,1.030040864565911107e+01
1.347595472110619808e-01,7.555698827333408030e-01,-3.027318647600621970e-01,-3.896144426368330915e-02,1.817287656846402477e+00,-2.239885578967987012e+00,1.092845365671122266e+02,1.039461308569552322e+01
6.863148144436137521e-02,8.893292195029571801e-01,-4.725676277802297598e-01,-5.713773272845632661e-02,1.268542052786754359e+00,-1.531298193279830411e+00,9.854146928724695442e+01,9.166920258775936858e+00
9.358121627436311041e-01,5.358768216099907278e-01,-8.323488309808237950e-01,-2.327264158540671979e-02,1.726201766896405587e+00,-1.979427075444655237e+00,1.493139064303908299e+02,1.233418217171422704e+01
7.798984737023162417e-01,6.120363416449624561e-01,-6.941151413529160763e-01,-3.559055282345169324e-02,1.084802030663890804e+00,-1.253517480377626336e+00,1.097134835842244911e+02,1.055988341445523915e+01
1.175815757113040094e-01,8.718469308194647382e-01,-7.964073237535144179e-01,2.804311153620980823e-03,1.506786884420987960e+00,-1.892257673023415965e+00,1.161427296606298967e+02,1.075990795661486743e+01
6.288699688541784516e-01,6.549207255858369159e-01,-3.712597201918993450e-01,8.116032596802399968e-02,1.706127802737757548e+00,-2.280494397362086811e+00,1.530340922815759939e+02,1.189286143760861059e+01
4.391501684854834942e-01,9.594344518433555180e-01,-4.224935337132024182e-01,9.715014626709436718e-02,1.091392015099550417e+00,-1.269066795906928391e+00,9.053286843837742026e+01,1.026930577461732064e+01
5.712055874489277985e-01,8.987434134033869260e-01,-4.923934198948264340e-01,-9.105454439340882056e-03,1.948922823842296870e+00,-2.937056480721013774e+00,1.680206408977767296e+02,1.248416343949648599e+01
4.624016683760693303e-01,5.247724484794219491e-01,-8.508726260375584216e-01,2.401485463420535704e-02,1.098399297421368992e+00,-2.432473471415928401e+00,1.307508704386760598e+02,1.159816172723024152e+01
1.047752750593622384e-02,5.408616761008737672e-01,-6.155146951789003396e-01,-2.283057577801203553e-02,1.536953616751281171e+00,-1.724306322044821593e+00,9.848015718896374437e+01,9.781237367869259458e+00
9.585364110649196023e-01,6.417446051176354249e-01,-9.609923036151236664e-01,9.787765444221432909e-02,1.451858411980701646e+00,-2.312222960972563968e+00,1.797250493406892815e+02,1.314684710450060834e+01
2.101815645617677308e-02,5.057321234080449646e-01,-8.577599299533211763e-01,7.535807488598095238e-02,1.326340468390644789e+00,-1.469652333560024671e+00,1.056663830005004456e+02,1.020668193136341984e+01
3.937270704000273014e-02,6.981631630006575051e-01,-5.280981452650317376e-01,-4.550027694030223113e-02,1.026429085302897670e+00,-2.261164990519112017e+00,9.094188545841961968e+01,9.744810997875024583e+00
7.797013895604478773e-01,7.226889341630698960e-01,-9.453516789906372120e-01,-3.181268248298270429e-02,1.586251714102710819e+00,-1.189521548355230163e+00,1.372377247680077517e+02,1.141351435120575530e+01
5.734237981288980990e-02,9.048840537053695066e-01,-9.063081097969178934e-01,-9.706733364744087045e-02,1.957256502140192644e+00,-2.744904144417821268e+00,1.177573386617257256e+02,1.161318543052531638e+01
4.117764977117172043e-01,8.545700023738673767e-01,-9.337132982258347091e-01,-3.127301803655282986e-02,1.396642473977879995e+00,-2.319522696760010660e+00,1.235543758091923223e+02,1.168868737437802352e+01
9.766460469607712858e-01,7.866057299852610152e-01,-4.533569431391963889e-01,-1.985141429801624835e-02,1.679095943869474805e+00,-2.586405960554484018e+00,1.409107099357995878e+02,1.251081871290101333e+01
9.371104958483026381e-01,5.726080912594518901e-01,-8.652697513762173109e-01,-3.021930311994089347e-03,1.530076854382403262e+00,-2.829264576717096524e+00,1.672550400736827783e+02,1.305950737033074915e+01
4.429084907649541991e-01,8.467404258955438801e-01,-5.905247360711263216e-01,-8.616423248596741247e-02,1.015984855086957683e+00,-1.276062325258249031e+00,1.001099486762834090e+02,9.489012981233310384e+00
5.972362591965327816e-01,5.338125369043634771e-01,-3.849508354238047048e-01,-7.157665825056058750e-02,1.765837777376457751e+00,-1.179201179751062423e+00,1.083799812775002067e+02,1.002994455699051279e+01
5.085655910695107140e-01,7.953041906158385688e-01,-9.134489719953547970e-01,5.720405690764229778e-02,1.275561993287660290e+00,-1.794777724606843483e+00,1.236404458003967477e+02,1.159763317113834802e+01
2.217465375071302480e-01,8.495630724994713834e-01,-3.749067037771370847e-01,6.586830996916839820e-02,1.664009997912521577e+00,-2.976466228941146319e+00,1.524229691109478608e+02,1.179441170430023078e+01
7.067848532626352931e-02,8.092419558952432812e-01,-3.195285719893309340e-01,-3.431862842399351077e-02,1.157923669091865726e+00,-1.415670061667795077e+00,6.538348088540983838e+01,8.695258620121412818e+00
8.146942218251874701e-01,6.905861381248152853e-01,-4.123935427357157124e-01,-6.633926033830994662e-02,1.940507298468262753e+00,-2.455130914025708488e+00,1.757662288296846214e+02,1.202938489841827341e+01
9.215898723866258191e-01,8.595037059421748449e-01,-9.453884817358768622e-01,-2.806347401585747303e-02,1.995147510735332030e+00,-2.203879027000720470e+00,1.404867077050460011e+02,1.299045526977841014e+01
5.962322448971398847e-01,7.748989281643312577e-01,-5.121244323980560509e-01,1.155443577306844438e-02,1.975308165867256882e+00,-1.382607081408872673e+00,1.350698966138673711e+02,1.116584869139430403e+01
4.864113012625476129e-01,5.376134377873482695e-01,-3.556505344074086805e-01,1.373178569385435921e-02,1.258489058533742933e+00,-1.063136325431295548e+00,9.468979183564698587e+01,9.533151336821354960e+00
